VendorID,VendorName,Category,City,Shared_Bank_Account_Flag,Missing_GSTIN_Flag,Total_Spend_INR,Spend_Percentage,Maverick_Invoice_Count,Maverick_Spend_INR,Vendor_Employee_Address_Match,Approver_Address_Match,Vendor_Employee_Relationship_Flag,Average_Payment_Delay,Late_Payments,Late_Payment_Percentage,Risk_Score,Risk_Category
V0056,Prime Suppliers,Tooling & Dies,Kanpur,0,0,334800.0,0.37,2.0,132200.0,0.0,0.0,0,58.22222222222222,9,100.0,4.0,Medium
V0099,Ganesh Engineering Works,Logistics & Freight,Chennai,0,0,327900.0,0.36,1.0,62600.0,0.0,0.0,0,49.5,4,100.0,4.0,Medium
V0121,Elite & Co,Raw Material - Aluminium,Coimbatore,0,0,317400.0,0.35,1.0,15500.0,0.0,0.0,0,20.142857142857142,7,100.0,4.0,Medium
V0036,Bharat Impex,Machine Spares,Rajkot,0,0,268200.0,0.29,2.0,268200.0,0.0,0.0,0,13.5,2,100.0,4.0,Medium
V0013,Ganesh Associates,Raw Material - Steel,Ludhiana,1,0,265900.0,0.29,0.0,0.0,0.0,0.0,0,63.8,5,100.0,4.0,Medium
V0113,United Overseas,Packaging,Nashik,0,0,265000.0,0.29,2.0,30600.0,0.0,0.0,0,29.5,8,100.0,4.0,Medium
V0045,National Suppliers,Logistics & Freight,Faridabad,1,0,260400.0,0.28,0.0,0.0,0.0,0.0,0,15.0,7,100.0,4.0,Medium
V0078,Sigma Associates,Raw Material - Steel,Ahmedabad,0,0,239900.0,0.26,1.0,71100.0,0.0,0.0,0,55.0,4,100.0,4.0,Medium
V0060,Ganesh Industries,MRO Supplies,Jamshedpur,0,0,237700.0,0.26,1.0,110600.0,0.0,0.0,0,22.6,5,100.0,4.0,Medium
V0011,Horizon Impex,Facility & Housekeeping,Chennai,1,0,223600.0,0.24,0.0,0.0,0.0,0.0,0,23.0,3,100.0,4.0,Medium
V0104,Apex Traders,Tooling & Dies,Indore,0,0,221300.0,0.24,1.0,10200.0,0.0,0.0,0,40.25,4,100.0,4.0,Medium
V0106,Global Enterprises,Electrical Components,Pune,0,0,179400.0,0.2,1.0,46900.0,0.0,0.0,0,42.75,4,100.0,4.0,Medium
V0025,Global Impex,MRO Supplies,Jamshedpur,0,0,130200.0,0.14,1.0,21900.0,0.0,0.0,0,45.4,5,100.0,4.0,Medium
V0008,Shree Impex,IT & Software Services,Jamshedpur,1,0,108900.0,0.12,0.0,0.0,0.0,0.0,0,33.333333333333336,3,100.0,4.0,Medium
V0127,Om Pvt Ltd,Contract Labour,Pune,0,0,107800.0,0.12,1.0,10500.0,0.0,0.0,0,28.666666666666668,3,100.0,4.0,Medium
V0062,Jai Impex,Raw Material - Aluminium,Ludhiana,0,0,38100.0,0.04,1.0,38100.0,0.0,0.0,0,27.0,1,100.0,4.0,Medium
V0120,Prime Engineering Works,IT & Software Services,Pune,0,0,4900.0,0.01,1.0,4900.0,0.0,0.0,0,39.0,1,100.0,4.0,Medium
V0063,Bharat Industries,Consulting Services,Pune,0,1,304100.0,0.33,0.0,0.0,0.0,0.0,0,34.666666666666664,3,100.0,2.0,Low
V0076,Bharat & Co,Packaging,Rajkot,0,1,203800.0,0.22,0.0,0.0,0.0,0.0,0,34.75,4,100.0,2.0,Low
V0009,Bharat Impex,Electrical Components,Ludhiana,0,1,190400.0,0.21,0.0,0.0,0.0,0.0,0,34.5,2,100.0,2.0,Low
V0115,Sigma Suppliers,Raw Material - Steel,Pune,0,1,129000.0,0.14,0.0,0.0,0.0,0.0,0,47.5,2,100.0,2.0,Low
V0039,Krishna Pvt Ltd,Raw Material - Aluminium,Coimbatore,0,1,121600.0,0.13,0.0,0.0,0.0,0.0,0,17.0,3,100.0,2.0,Low
V0074,Metro Suppliers,Consulting Services,Coimbatore,0,0,9934196.0,10.84,0.0,0.0,0.0,0.0,0,33.57142857142857,7,100.0,1.0,Low
V0080,Jai Suppliers,Tooling & Dies,Rajkot,0,0,9814500.0,10.71,0.0,0.0,0.0,0.0,0,16.25,4,100.0,1.0,Low
V0089,Apex Industries,IT & Software Services,Ludhiana,0,0,3301700.0,3.6,0.0,0.0,0.0,0.0,0,21.333333333333332,3,100.0,1.0,Low
V0049,Star Enterprises,Contract Labour,Indore,0,0,3170707.0,3.46,0.0,0.0,0.0,0.0,0,57.625,8,100.0,1.0,Low
V0086,Shree Pvt Ltd,Consulting Services,Nashik,0,0,3168000.0,3.46,0.0,0.0,0.0,0.0,0,59.25,4,100.0,1.0,Low
V0047,Krishna Solutions,Facility & Housekeeping,Nashik,0,0,3009600.0,3.28,0.0,0.0,0.0,0.0,0,35.333333333333336,3,100.0,1.0,Low
V0081,Global Traders,Packaging,Ludhiana,0,0,1949152.0,2.13,0.0,0.0,0.0,0.0,0,63.6,10,100.0,1.0,Low
V0085,Balaji Overseas,Machine Spares,Noida,0,0,895400.0,0.98,0.0,0.0,0.0,0.0,0,50.333333333333336,6,100.0,1.0,Low
V0028,Global Corporation,Facility & Housekeeping,Kanpur,0,0,888700.0,0.97,0.0,0.0,0.0,0.0,0,33.9,10,100.0,1.0,Low
V0027,Sigma Suppliers,Raw Material - Aluminium,Rajkot,0,0,801400.0,0.87,0.0,0.0,0.0,0.0,0,29.75,4,100.0,1.0,Low
V0031,Om & Co,Consulting Services,Indore,0,0,787383.0,0.86,0.0,0.0,0.0,0.0,0,33.1,10,100.0,1.0,Low
V0125,Om Traders,IT & Software Services,Indore,0,0,784100.0,0.86,0.0,0.0,0.0,0.0,0,33.666666666666664,6,100.0,1.0,Low
V0100,Balaji Traders,MRO Supplies,Chennai,0,0,706100.0,0.77,0.0,0.0,0.0,0.0,0,33.333333333333336,6,100.0,1.0,Low
V0114,Ganesh Suppliers,Facility & Housekeeping,Indore,0,0,657700.0,0.72,0.0,0.0,0.0,0.0,0,34.6,5,100.0,1.0,Low
V0059,United Enterprises,Logistics & Freight,Ludhiana,0,0,645000.0,0.7,0.0,0.0,0.0,0.0,0,18.4,5,100.0,1.0,Low
V0002,Apex Associates,Contract Labour,Coimbatore,0,0,633200.0,0.69,0.0,0.0,0.0,0.0,0,63.42857142857143,7,100.0,1.0,Low
V0097,Jai Overseas,Contract Labour,Jamshedpur,0,0,630400.0,0.69,0.0,0.0,0.0,0.0,0,34.888888888888886,9,100.0,1.0,Low
V0016,Prime Corporation,Raw Material - Steel,Faridabad,0,0,605500.0,0.66,0.0,0.0,0.0,0.0,0,49.2,5,100.0,1.0,Low
V0069,Horizon Suppliers,IT & Software Services,Coimbatore,0,0,584200.0,0.64,0.0,0.0,0.0,0.0,0,17.666666666666668,6,100.0,1.0,Low
V0079,Bharat Overseas,Facility & Housekeeping,Ludhiana,0,0,487833.0,0.53,0.0,0.0,0.0,0.0,0,62.3,10,100.0,1.0,Low
V0093,Elite Engineering Works,Raw Material - Steel,Ahmedabad,0,0,469300.0,0.51,0.0,0.0,0.0,0.0,0,48.5,4,100.0,1.0,Low
V0095,Balaji Suppliers,Raw Material - Steel,Pune,0,0,451400.0,0.49,0.0,0.0,0.0,0.0,0,30.625,8,100.0,1.0,Low
V0054,Jai Traders,Logistics & Freight,Faridabad,0,0,430600.0,0.47,0.0,0.0,0.0,0.0,0,28.0,2,100.0,1.0,Low
V0010,Royal Enterprises,Machine Spares,Pune,0,0,423300.0,0.46,0.0,0.0,0.0,0.0,0,32.0,2,100.0,1.0,Low
V0012,Om Corporation,MRO Supplies,Nashik,0,0,422800.0,0.46,0.0,0.0,0.0,0.0,0,48.0,2,100.0,1.0,Low
V0107,Shree Associates,Packaging,Coimbatore,0,0,413600.0,0.45,0.0,0.0,0.0,0.0,0,39.0,4,100.0,1.0,Low
V0017,Jai Suppliers,Facility & Housekeeping,Pune,0,0,403889.0,0.44,0.0,0.0,0.0,0.0,0,57.125,8,100.0,1.0,Low
V0068,Krishna Pvt Ltd,Consulting Services,Ludhiana,0,0,399300.0,0.44,0.0,0.0,0.0,0.0,0,33.77777777777778,9,100.0,1.0,Low
V0024,Global Overseas,Tooling & Dies,Ludhiana,0,0,387300.0,0.42,0.0,0.0,0.0,0.0,0,35.916666666666664,12,100.0,1.0,Low
V0006,Krishna Solutions,MRO Supplies,Chennai,0,0,382500.0,0.42,0.0,0.0,0.0,0.0,0,66.0,3,100.0,1.0,Low
V0021,United Impex,IT & Software Services,Indore,0,0,367903.0,0.4,0.0,0.0,0.0,0.0,0,44.44444444444444,9,100.0,1.0,Low
V0043,Ganesh & Co,Facility & Housekeeping,Ludhiana,0,0,364154.0,0.4,0.0,0.0,0.0,0.0,0,35.25,8,100.0,1.0,Low
V0033,Prime Engineering Works,Packaging,Pune,0,0,356700.0,0.39,0.0,0.0,0.0,0.0,0,45.6,5,100.0,1.0,Low
V0112,National Pvt Ltd,Raw Material - Steel,Ludhiana,0,0,355700.0,0.39,0.0,0.0,0.0,0.0,0,35.0,2,100.0,1.0,Low
V0005,Ganesh Solutions,Packaging,Ludhiana,0,0,351000.0,0.38,0.0,0.0,0.0,0.0,0,48.333333333333336,6,100.0,1.0,Low
V0032,Sunrise Industries,Tooling & Dies,Jamshedpur,0,0,350400.0,0.38,0.0,0.0,0.0,0.0,0,38.5,4,100.0,1.0,Low
V0109,Vertex Suppliers,Electrical Components,Chennai,0,0,327235.0,0.36,0.0,0.0,0.0,0.0,0,48.5,8,100.0,1.0,Low
V0041,National & Co,Packaging,Rajkot,0,0,298200.0,0.33,0.0,0.0,0.0,0.0,0,50.25,4,100.0,1.0,Low
V0019,Global Associates,Machine Spares,Jamshedpur,0,0,286700.0,0.31,0.0,0.0,0.0,0.0,0,67.25,4,100.0,1.0,Low
V0123,Bharat Associates,Electrical Components,Rajkot,0,0,281088.0,0.31,0.0,0.0,0.0,0.0,0,19.5,6,100.0,1.0,Low
V0084,Jai Engineering Works,Logistics & Freight,Kanpur,0,0,262000.0,0.29,0.0,0.0,0.0,0.0,0,33.875,8,100.0,1.0,Low
V0129,Horizon Enterprises,Logistics & Freight,Jamshedpur,0,0,262000.0,0.29,0.0,0.0,0.0,0.0,0,35.333333333333336,3,100.0,1.0,Low
V0023,Sigma Traders,Logistics & Freight,Faridabad,0,0,254600.0,0.28,0.0,0.0,0.0,0.0,0,31.6,5,100.0,1.0,Low
V0034,Apex Solutions,Machine Spares,Ludhiana,0,0,244800.0,0.27,0.0,0.0,0.0,0.0,0,32.5,4,100.0,1.0,Low
V0092,Royal Engineering Works,Contract Labour,Ludhiana,0,0,239300.0,0.26,0.0,0.0,0.0,0.0,0,20.857142857142858,7,100.0,1.0,Low
V0035,Balaji & Co,Packaging,Kanpur,0,0,223500.0,0.24,0.0,0.0,0.0,0.0,0,31.5,4,100.0,1.0,Low
V0064,Prime Industries,Tooling & Dies,Noida,0,0,218200.0,0.24,0.0,0.0,0.0,0.0,0,17.333333333333332,3,100.0,1.0,Low
V0101,Balaji Corporation,Logistics & Freight,Nashik,0,0,209900.0,0.23,0.0,0.0,0.0,0.0,0,28.8,5,100.0,1.0,Low
V0003,National Associates,Tooling & Dies,Rajkot,0,0,188700.0,0.21,0.0,0.0,0.0,0.0,0,36.5,4,100.0,1.0,Low
V0094,National Industries,Machine Spares,Chennai,0,0,185100.0,0.2,0.0,0.0,0.0,0.0,0,21.0,4,100.0,1.0,Low
V0118,Bharat Industries,Raw Material - Aluminium,Chennai,0,0,181800.0,0.2,0.0,0.0,0.0,0.0,0,36.25,4,100.0,1.0,Low
V0037,Krishna Corporation,Raw Material - Steel,Ludhiana,0,0,180800.0,0.2,0.0,0.0,0.0,0.0,0,22.666666666666668,3,100.0,1.0,Low
V0029,Sigma Traders,Raw Material - Aluminium,Indore,0,0,178151.0,0.19,0.0,0.0,0.0,0.0,0,49.8,5,100.0,1.0,Low
V0042,Bharat Associates,Packaging,Pune,0,0,171900.0,0.19,0.0,0.0,0.0,0.0,0,62.0,8,100.0,1.0,Low
V0073,Shree Impex,Contract Labour,Faridabad,0,0,168400.0,0.18,0.0,0.0,0.0,0.0,0,36.5,4,100.0,1.0,Low
V0057,Jai Overseas,Raw Material - Aluminium,Rajkot,0,0,167400.0,0.18,0.0,0.0,0.0,0.0,0,37.5,4,100.0,1.0,Low
V0083,Jai Overseas,Tooling & Dies,Ludhiana,0,0,166300.0,0.18,0.0,0.0,0.0,0.0,0,64.5,2,100.0,1.0,Low
V0001,Global Pvt Ltd,Raw Material - Steel,Rajkot,0,0,157300.0,0.17,0.0,0.0,0.0,0.0,0,64.0,2,100.0,1.0,Low
V0065,Sunrise Solutions,Consulting Services,Chennai,0,0,156000.0,0.17,0.0,0.0,0.0,0.0,0,30.75,4,100.0,1.0,Low
V0030,Shree Impex,Contract Labour,Faridabad,0,0,151300.0,0.17,0.0,0.0,0.0,0.0,0,21.2,5,100.0,1.0,Low
V0022,Balaji Overseas,Logistics & Freight,Faridabad,0,0,151200.0,0.16,0.0,0.0,0.0,0.0,0,25.5,4,100.0,1.0,Low
V0116,Ganesh Pvt Ltd,Logistics & Freight,Kanpur,0,0,149700.0,0.16,0.0,0.0,0.0,0.0,0,19.5,2,100.0,1.0,Low
V0015,Sigma Corporation,Machine Spares,Coimbatore,0,0,147700.0,0.16,0.0,0.0,0.0,0.0,0,36.8,5,100.0,1.0,Low
V0070,Global Engineering Works,Raw Material - Steel,Kanpur,0,0,144500.0,0.16,0.0,0.0,0.0,0.0,0,46.5,2,100.0,1.0,Low
V0082,Metro Pvt Ltd,Machine Spares,Indore,0,0,131600.0,0.14,0.0,0.0,0.0,0.0,0,63.666666666666664,3,100.0,1.0,Low
V0126,Royal Pvt Ltd,MRO Supplies,Nashik,0,0,131500.0,0.14,0.0,0.0,0.0,0.0,0,31.25,4,100.0,1.0,Low
V0088,Ganesh Suppliers,Consulting Services,Rajkot,0,0,113100.0,0.12,0.0,0.0,0.0,0.0,0,13.5,2,100.0,1.0,Low
V0077,National Suppliers,Contract Labour,Kanpur,0,0,101400.0,0.11,0.0,0.0,0.0,0.0,0,63.0,2,100.0,1.0,Low
V0004,Krishna Engineering Works,Machine Spares,Ludhiana,0,0,100600.0,0.11,0.0,0.0,0.0,0.0,0,20.666666666666668,3,100.0,1.0,Low
V0038,Horizon Traders,Raw Material - Aluminium,Rajkot,0,0,89000.0,0.1,0.0,0.0,0.0,0.0,0,39.5,2,100.0,1.0,Low
V0075,Royal Pvt Ltd,Consulting Services,Nashik,0,0,87500.0,0.1,0.0,0.0,0.0,0.0,0,48.5,2,100.0,1.0,Low
V0067,Om Solutions,Machine Spares,Pune,0,0,83300.0,0.09,0.0,0.0,0.0,0.0,0,55.5,2,100.0,1.0,Low
V0007,Prime & Co,Raw Material - Aluminium,Ludhiana,0,0,71424.0,0.08,0.0,0.0,0.0,0.0,0,67.33333333333333,3,100.0,1.0,Low
V0053,Apex Solutions,Raw Material - Steel,Ahmedabad,0,0,62300.0,0.07,0.0,0.0,0.0,0.0,0,20.666666666666668,3,100.0,1.0,Low
V0040,Sigma Overseas,Raw Material - Aluminium,Nashik,0,0,52600.0,0.06,0.0,0.0,0.0,0.0,0,69.0,1,100.0,1.0,Low
V0026,Bharat Engineering Works,Contract Labour,Coimbatore,0,0,52300.0,0.06,0.0,0.0,0.0,0.0,0,14.0,1,100.0,1.0,Low
V0066,Elite & Co,Packaging,Rajkot,0,0,51700.0,0.06,0.0,0.0,0.0,0.0,0,18.5,2,100.0,1.0,Low
V0051,Ganesh Overseas,Raw Material - Aluminium,Indore,0,0,46300.0,0.05,0.0,0.0,0.0,0.0,0,59.0,1,100.0,1.0,Low
V0018,Global Impex,Consulting Services,Coimbatore,0,0,34600.0,0.04,0.0,0.0,0.0,0.0,0,34.5,2,100.0,1.0,Low
V0108,Balaji Impex,Electrical Components,Nashik,0,0,17700.0,0.02,0.0,0.0,0.0,0.0,0,68.0,1,100.0,1.0,Low
V0020,Vertex & Co,MRO Supplies,Jamshedpur,0,0,12712.0,0.01,0.0,0.0,0.0,0.0,0,18.75,4,100.0,1.0,Low
V0130,Shree Enterprises,Machine Spares,Pune,0,0,10500.0,0.01,0.0,0.0,0.0,0.0,0,19.0,1,100.0,1.0,Low
