VendorID,InvoiceAmount_INR,VendorName,Category,City,Spend_Percentage,Cumulative_Spend_Percentage
V0118,181800.0,Bharat Industries,Raw Material - Aluminium,Chennai,0.2,95.24
V0037,180800.0,Krishna Corporation,Raw Material - Steel,Ludhiana,0.2,95.44
V0106,179400.0,Global Enterprises,Electrical Components,Pune,0.2,95.64
V0029,178151.0,Sigma Traders,Raw Material - Aluminium,Indore,0.19,95.83
V0042,171900.0,Bharat Associates,Packaging,Pune,0.19,96.02
V0073,168400.0,Shree Impex,Contract Labour,Faridabad,0.18,96.2
V0057,167400.0,Jai Overseas,Raw Material - Aluminium,Rajkot,0.18,96.38
V0083,166300.0,Jai Overseas,Tooling & Dies,Ludhiana,0.18,96.56
V0128,164200.0,Krishna & Co,Electrical Components,Rajkot,0.18,96.74
V0001,157300.0,Global Pvt Ltd,Raw Material - Steel,Rajkot,0.17,96.91
V0065,156000.0,Sunrise Solutions,Consulting Services,Chennai,0.17,97.08
V0030,151300.0,Shree Impex,Contract Labour,Faridabad,0.17,97.25
V0022,151200.0,Balaji Overseas,Logistics & Freight,Faridabad,0.16,97.41
V0116,149700.0,Ganesh Pvt Ltd,Logistics & Freight,Kanpur,0.16,97.57
V0015,147700.0,Sigma Corporation,Machine Spares,Coimbatore,0.16,97.73
V0070,144500.0,Global Engineering Works,Raw Material - Steel,Kanpur,0.16,97.89
V0082,131600.0,Metro Pvt Ltd,Machine Spares,Indore,0.14,98.03
V0126,131500.0,Royal Pvt Ltd,MRO Supplies,Nashik,0.14,98.17
V0025,130200.0,Global Impex,MRO Supplies,Jamshedpur,0.14,98.31
V0115,129000.0,Sigma Suppliers,Raw Material - Steel,Pune,0.14,98.45
V0039,121600.0,Krishna Pvt Ltd,Raw Material - Aluminium,Coimbatore,0.13,98.58
V0088,113100.0,Ganesh Suppliers,Consulting Services,Rajkot,0.12,98.7
V0008,108900.0,Shree Impex,IT & Software Services,Jamshedpur,0.12,98.82
V0127,107800.0,Om Pvt Ltd,Contract Labour,Pune,0.12,98.94
V0077,101400.0,National Suppliers,Contract Labour,Kanpur,0.11,99.05
V0004,100600.0,Krishna Engineering Works,Machine Spares,Ludhiana,0.11,99.16
V0038,89000.0,Horizon Traders,Raw Material - Aluminium,Rajkot,0.1,99.26
V0075,87500.0,Royal Pvt Ltd,Consulting Services,Nashik,0.1,99.36
V0067,83300.0,Om Solutions,Machine Spares,Pune,0.09,99.45
V0007,71424.0,Prime & Co,Raw Material - Aluminium,Ludhiana,0.08,99.53
V0071,67800.0,United Impex,Facility & Housekeeping,Noida,0.07,99.6
V0053,62300.0,Apex Solutions,Raw Material - Steel,Ahmedabad,0.07,99.67
V0040,52600.0,Sigma Overseas,Raw Material - Aluminium,Nashik,0.06,99.73
V0026,52300.0,Bharat Engineering Works,Contract Labour,Coimbatore,0.06,99.79
V0066,51700.0,Elite & Co,Packaging,Rajkot,0.06,99.85
V0051,46300.0,Ganesh Overseas,Raw Material - Aluminium,Indore,0.05,99.9
V0062,38100.0,Jai Impex,Raw Material - Aluminium,Ludhiana,0.04,99.94
V0018,34600.0,Global Impex,Consulting Services,Coimbatore,0.04,99.98
V0108,17700.0,Balaji Impex,Electrical Components,Nashik,0.02,100.0
V0020,12712.0,Vertex & Co,MRO Supplies,Jamshedpur,0.01,100.01
V0130,10500.0,Shree Enterprises,Machine Spares,Pune,0.01,100.02
V0120,4900.0,Prime Engineering Works,IT & Software Services,Pune,0.01,100.03
